nama pengguna,produk,review,rating,waktu transaksi
deasydaisy,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2024-05-11 20:27
a*****a,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2024-05-11 18:09
avignam18072003,SMARTPHONE APPLE  11 64 GB & 128 GB NEW GARANSI RESMI,,5,2024-05-11 11:46
alfrma,iPhone 12 64GB/128GB Bekas Original 100% | NORMAL MULUS FULLSET,,4,2024-05-11 11:27
chachaefendy,iPhone 13 128GB/256GB/512GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2024-05-11 10:38
f*****d,iPhone 12 64GB/128GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2024-05-11 07:49
alimustakim2130,SMARTPHONE APPLE  11 64 GB & 128 GB NEW GARANSI RESMI,,5,2024-05-11 04:37
putraachmadhawali,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,Baru sebulan pake sudah turun bh 10% dari 90%. Yang lainnya amann,3,2024-05-10 14:29
oktavianalaksitawati,CHARGER ANKER  (CABLE TYPE C / ADAPTER ANKER TYPE C 20 WATT),,5,2024-05-09 13:05
d*****l,iPhone 12 64GB/128GB Bekas Original 100% | NORMAL MULUS FULLSET,"Sepadan dengan Harga:kualitas sesuai harga
Fitur Terbaik:berfungsi normal

Barang mulus gada yg cacat, rekomen belanja di sini. Admin nya juga baik 👍",5,2024-05-07 18:41
sitinusaimahrahayu,iPhone 12 ProMax 128GB/256GB/512GB Bekas Original 100% | NORMAL MULUS FULLSET,,4,2024-05-07 12:09
wjduna21,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2024-05-07 11:32
r*****r,SMARTPHONE APPLE  11 64 GB & 128 GB NEW GARANSI RESMI,"Produkny bener² bagus dan oke banget, cari stock langsung ke toko dilayani dgn helpfull",5,2024-05-07 06:34
fzimd_,"MACBOOK AIR 2020 13inch (i3 i5 1,1GHz / i7 1,2GHz) SECOND UNIT ORIGINAL",,5,2024-05-06 20:44
kuumik,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2024-05-06 19:19
rienirindu,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2024-05-06 18:36
slvpus,"MACBOOK AIR 2019 13inch (i5 1,6GHz) SECOND UNIT ORIGINAL",Maaf foto tidak sesuai . Tapi yg jelas puas beli ip 11 new di appelhouse . Semoga awet selalu . Terimakasih,5,2024-04-28 21:25
safrilakrismonika,iPhone 12 64GB/128GB Bekas Original 100% | NORMAL MULUS FULLSET,Baru 2 bulan IMEI keblokir😌,2,2024-04-25 18:52
trinellwibisana,SMARTPHONE APPLE  11 64 GB & 128 GB NEW GARANSI RESMI,,5,2024-04-25 05:22
k*****a,iPhone 11 Pro 64GB/256GB Bekas Second Original,"Kondisi Barang:Masih bagus dan mulus
Fungsi:nomal

Barangnya masih bagus dan normal, cek di web bea cukai sukses, semoga tidak ada kendala, bisa check lewat virtual call sebelum dikirim unit nya 👍",5,2024-04-25 00:22
kurniawantriwibowo_12,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Untuk barang masih bagus thx deh buat mimin, will update soon ya guys...",5,2024-04-24 17:36
nisakim39,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2024-04-24 15:37
b*****l,iPhone 11 Pro 64GB/256GB Bekas Second Original,,5,2024-04-24 10:35
wahysaputra457,"MACBOOK AIR 2019 13inch (i5 1,6GHz) SECOND UNIT ORIGINAL",,5,2024-04-23 12:01
purwaannga,iPhone 12 64GB/128GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2024-04-22 16:31
yohanamegaao,"MACBOOK AIR 2015 11inch (i5 1,6 GHz) SECOND UNIT ORIGINAL","Fitur Terbaik:mantap
Sepadan dengan Harga:sepadan

terima kasih shopee barang sesuai dengan deskripsi dan video. sehat selalu kurir, sukses selalu seller",5,2024-04-22 14:01
vandhiza41,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2024-04-22 13:58
bustanulatfal,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2024-04-22 12:18
nofitaks28,iPhone 12 Pro 128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2024-04-22 05:39
litahendriani1991,iPhone 12 Pro 128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,4,2024-04-20 21:29
dusdusan.medina.yogya,OPPO A58 BRAND NEW (6GB/128GB) | (8GB/128GB) GARANSI RESMI,,5,2024-04-20 20:16
deffhamzah,iPhone 12 Mini 64GB / 128GB / 256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2024-04-20 11:41
n*****o,SMARTPHONE IPHONE 12 BARU GARANSI RESMI,"Keaslian:Asli 100 persen
Kondisi:baru dan tersegel
Fungsi:normal

Barangnya ori
Adminnya sangat ramah
Mau pesan yg bekas tapi ditawari langaung dgn yg baru
Semoga awet barangnya.
Tks admin",5,2024-04-20 11:08
srpjast,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Kondisi Barang:datang dalam kondisi mulus
Permukaan:mulus
Fungsi:baik

Barang nyampe dengan kondisi mulus dan bagus. Tidak ada cacat apapun.",5,2024-04-20 08:51
renyaristiarini,"MACBOOK AIR 2015 11inch (i5 1,6 GHz) SECOND UNIT ORIGINAL",,5,2024-04-20 04:25
harrylouking,iPhone 11 Pro 64GB/256GB Bekas Second Original,,5,2024-04-19 20:19
l*****a,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Kondisi Barang:kondisi barang mulus
Permukaan:mulus

Mantap pokoknya! Admin juga ramah",5,2024-04-19 16:37
wendriruben,iPhone 8 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"Fitur Terbaik:good
Sepadan dengan Harga:sepadan untuk harga murah

Hp saya telah sampai meski harus menunggu lama pada proses pengiriman nya, kesehatan baterai aman 100%,  pada body samping hp terdapat sedikit lecet. 
Hp nya bagus dan saya suka
Namun warna tidak sesuai dengan kesepakatan awal.
Terimakasih. Semoga berkah.",3,2024-04-13 15:31
