nama pengguna,produk,review,rating,waktu transaksi
soohaekim,AKSESORIS,,5,2022-06-19 12:03
eminaksuryadin,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,Sumpah bagus banget di pilihankan yg terbaik ngk nyesel beli i phone di toko nh di kash BH yg 89% thanks you,5,2022-06-19 01:49
n*****9,AKSESORIS,"Bagus pokonya , adminnya juga fast respon thanks yaa sukses sllu",5,2022-06-18 12:14
clarindafrica,iPhone 12 ProMax 128GB/256GB/512GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-18 11:17
c*****6,AKSESORIS,,5,2022-06-17 10:23
candraalim12345,AKSESORIS,,5,2022-06-17 10:21
listyadhisty__,iPhone X 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"Baru pertama kali beli hp online, puass banget ga request bh karena pasti dikirim yg terbaikk!! Top lah appelhouse

Cuma masalah di ekspedisi pengiriman aja si, selebihnya okee bgt",5,2022-06-17 08:35
a*****1,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-17 03:58
madfauzi93,iPhone X 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-06-16 23:40
k*****6,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-16 22:47
husnatulhamidiyah,AKSESORIS,,5,2022-06-16 09:14
sukma.nisa,AKSESORIS,,5,2022-06-16 09:11
clarpon,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-16 08:40
gunan.13,AKSESORIS,,5,2022-06-16 05:47
ajengmaulidiaa,iPhone 11 Pro Max 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"Kondisi semua baik, tp minta yg spacegrey d kirim yg midnight green. Dpt yg HB 93%",4,2022-06-16 03:54
ikha_lanip,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,4,2022-06-16 01:02
auliaastrii_,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-15 10:09
b*****d,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-15 07:55
b*****d,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-15 07:54
ahmadrofiq89,iPhone X 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-06-15 06:54
nauva05,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,Layarnya baret dan speaker kayak kemasukan air. Untuk yg laun itsokey,3,2022-06-15 04:26
nandatrip,Pembayaran Saja,Sesuai pesanan,4,2022-06-15 03:22
fanidj,Leather Case Silicone For Apple IPhone Original,,5,2022-06-14 15:00
husnatulhamidiyah,AKSESORIS,,5,2022-06-14 13:36
sakurniawan_,tempered glass for iphone,,5,2022-06-14 13:19
sakurniawan_,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-14 13:19
r*****r,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Packing aman pake kayu, barang mulus cm ada bekas beset dikiit bgt ngga keliatan. Dapet bh 88%. Pertama kali beli ip disini. Semoga awet n ngga ada masalah. Thx seller",5,2022-06-14 11:35
bagusbudi29,AKSESORIS,,5,2022-06-14 09:25
devyhapsari,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-14 06:42
alfnisa,Leather Case Silicone For Apple IPhone Original,,5,2022-06-14 05:36
david.dethan,AKSESORIS,,5,2022-06-14 03:40
rinisetiyowati,AKSESORIS,,5,2022-06-14 03:35
harishgalihm,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-13 14:33
hanindyaariefki,iPhone XS 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,bagus bgt hpnya💜💙💜,5,2022-06-13 10:51
okidiliana,AKSESORIS,"bagusss, cuman ekpedisinya yang lama bgt🥲",5,2022-06-13 09:27
adestyfs,iPhone 7 32GB/128GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,4,2022-06-13 07:11
adit.yoh,iPhone 13 128GB/256GB/512GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-13 06:03
robincoffee1,iPhone 7 32GB/128GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,Dpt BH 84% bagian blakang banyak bekas lem 😑,4,2022-06-13 05:19
ladyaisyah,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-13 02:17
beau.md,tempered glass for iphone,,5,2022-06-13 00:15
aristasti8884,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-12 22:18
esskopyorrr,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Akhirnya datang juga, jauh perjalanan dari Jogja ke Kalimantan 🥰 barang selalu jos gandosssss, sukses selalu appel house!!!",5,2022-06-12 05:40
i*****m,iPhone 8 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"recommended bngt, seller nya ramah juga, 2 minggu pemakaian bh turun 2% wajar si kayaknya soalnya charger nya yg oem, semoga hp nya awet awet terus yaa, thank u",5,2022-06-12 04:12
senasigit,iPhone 8 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-06-12 01:49
dimasbac78,iPhone 13 128GB/256GB/512GB Bekas Original 100% | NORMAL MULUS FULLSET,"Pesan hari ini langsung kirim, mantep respon penjual dan barang bagus mulus",5,2022-06-11 16:09
bilqisalnusakania9876,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-11 08:43
fahmirudii,iPhone 12 64GB/128GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-11 07:28
ikomtulimaroh,iPhone 8Plus 64GB/256GB Second Original 100% | NORMAL MULUS FULLSET,Alhamdulillah sudah datang barangnya dapat bh 89 sukses selalu yan kak☺️☺️,5,2022-06-11 06:58
annisawinadia,iPhone 8Plus 64GB/256GB Second Original 100% | NORMAL MULUS FULLSET,,4,2022-06-10 12:02
lourensiaaa,iPhone 11 Pro 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,Makasih ya kak datengnya cepet barangnya juga bagus love it,5,2022-06-10 10:05
wisnubrata283,iPhone 12 ProMax 128GB/256GB/512GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-10 10:01
melindaariska12,AKSESORIS,,5,2022-06-10 06:09
nadilaafatesa,Leather Case Silicone For Apple IPhone Original,,5,2022-06-10 05:09
123456789icang,iPhone 8Plus 64GB/256GB Second Original 100% | NORMAL MULUS FULLSET,Hp aku baru pemakaian 1 bulan tombol volumenya udah ngak berfungsi😭😭 kasian udah nabung selama 1 tahun juga ujung2nya udah ngk bisa,4,2022-06-10 03:06
deni_aldo_saputra,iPhone 11 Pro Max 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"pemakaian 1 bulan besok, kondisi mulus dan baik. minta bh 90 ke atas dikasih 88% oke gpp tapi selama 1 bulan ini belum berkurang dan aman. terimakasih applehousestore",5,2022-06-10 00:10
m*****8,iPhone 11 Pro 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-06-09 13:57
rinaymehan,iPhone 7 32GB/128GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-06-09 06:55
intanwidjaya,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-09 06:06
chasnaf,Leather Case Silicone For Apple IPhone Original,,5,2022-06-09 03:37
syafriadi27,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-09 03:22
_*****8,iPhone 7 32GB/128GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-06-09 02:44
f*****e,Leather Case Silicone For Apple IPhone Original,,5,2022-06-08 13:34
