nama pengguna,produk,review,rating,waktu transaksi
zulkar809,FAST CHARGING SET ORIGINAL,,5,2022-06-17 02:50
farkhan_kholiq,iPhone XR 64GB Second ORIGINAL,,5,2022-06-16 14:02
rp1196662,iPhone XR 64GB Second ORIGINAL,"Fitur Terbaik:mantab

ga nyesel beli di sini, admin ramah, produk original",5,2022-06-16 13:26
kevinandaaa,iPhone  5s  SECOND ORIGINAL,,5,2022-06-16 04:08
aldisyre,FAST CHARGING SET ORIGINAL,,5,2022-06-16 02:56
nesinuri25,FAST CHARGING SET ORIGINAL,"Untuk saat ini di pakai bisa dan lumayan cepet ngisinya, saya kasih 4 bintang dulu...nanti aku ganti klo sudah 1 mngg tidak ada kendala menjadi 5 bintang.",4,2022-06-15 22:42
tikootbs15,iPhone XS 64GB SECOND ORIGINAL,,5,2022-06-15 12:45
s*****u,iPhone 11 64GB SECOND ORIGINAL,"Fitur Terbaik:baterai 100%
Sepadan dengan Harga:masih bagus banget

Ada bagian iphone yang lecet-lecet tapi keseluruhan bagus. Admin responsif juga. Bisa tanya admin kalau ada warna yang sold bisa di-update. Bisa tanya dan request BH juga (meski kudu nambah biaya sih). Pakaging kayu aman banget, nambah biaya untuk itu jadi aman.",5,2022-06-15 08:21
eyra_22,FAST CHARGING SET ORIGINAL,"Fitur Terbaik:fungsi normal fast charging

gak tau beneran ori atau gak tpi bagus buat cas cepat",4,2022-06-14 23:54
eyra_22,iPhone 11 64GB SECOND ORIGINAL,"Fitur Terbaik:silent kamera on, face id normal, imei sama, layar baik belom check di 3utools

barang sesuai harga, pemakaian belom 1 bulan bh udah turun padahal pakai carger dari toko yg sama, dapet bh 91%, kirain bisa req beneran ternyata gak",4,2022-06-14 23:54
asep.hermawan03,iPhone XS 64GB SECOND ORIGINAL,keren bagus barangnya terimakasih next order lagi,5,2022-06-14 08:27
b*****s,iPhone  5s  SECOND ORIGINAL,"iphone 11 64gb purple, dpt bh 96%.
Sebulan di tangan udah turun 87% 🥲
Dapet yg dr japan, jd gbs silent camera. 😅",4,2022-06-13 17:51
sarah_silviar,iPhone 11 128GB  SECOND ORIGINAL,"Alhamdulillah sesuai aman sesuai mulus, cuma lecet dikit tapi gapapa namanya juga second original hehe, respon penjualnya juga juga sangat baik 👍🏻",5,2022-06-13 14:46
i*****i,iPhone XR 64GB Second ORIGINAL,"Maafff baru review. Kurang lebih seminggu pemakaian gak ada kendala. Pengemasan dan pengiriman cepatt dan aman, unit mulus banget kek masih baruuu. Respon penjual juga cepat dan sabar hehe. Recomended buat yang mau beli iphone sec kualitas bagus dan pelayanan👍😍  thanks seller",5,2022-06-13 13:39
kang_agoezt,iPhone 11 64GB SECOND ORIGINAL,,5,2022-06-13 05:11
sulistiadw,iPhone XS 256 GB SECOND ORIGINAL,"Ip XS 256gb. Pilih barang di store, tp barangnya dikirim ke luar kota via sopi, beli tgl 10 siang lgsg ikut pengiriman hr itu, tgl 11 sampe tujuan. Packing kayu asuransi JNE jd aman. BH 94%, 3d tools masih normal semua belum ada yg diganti. Ini pembelian kedua di ifonespot alhamdulillah selalu puas",5,2022-06-11 15:09
irwantodwi10,SPLIT PAYMENT (4),,5,2022-06-11 02:18
linzzzy23,Headset iPhone lightning untuk iPhone 7/8/X/XS/XR/11/12,,5,2022-06-10 20:48
fadiralevia,iPhone  5s  SECOND ORIGINAL,"barang muluss, bh masih 95%, seller ramah, trusted ya gaisss pokonyaaa🥰😍",5,2022-06-09 10:02
titokurnia11977,iPhone 11 64GB SECOND ORIGINAL,,5,2022-06-09 09:22
