nama pengguna,produk,review,rating,waktu transaksi
d*****a,iPhone 11 64 GB Second Original,Alhamdulillah ip nya sangat worth it sekali dipakai😍sengaja baru kasih ulasan pas bgt udah seminggu pakai. Semua ok baterai ok bgt tahan seharian dpt bh 99% awet wet blm turun samsek. Admin ramah mau bgt direpotin(ditanya2) xixi bakalan order lg sih next time. Thnx seller & kurir!💗,5,2022-06-19 09:23
kaylaazzahrawicaksono,Iphone 7 256 GB Second Original,,5,2022-06-19 06:35
puspita_branded,iPhone 11 64 GB Second Original,,5,2022-06-19 01:46
nadiaaprinda,Iphone 11 Pro 64 GB SECOND ORIGINAL,Barang nya bagus tidak mengecewakan . Seler ramah . Pokoknya recomended banget toko ini,5,2022-06-18 11:12
rinrinnf,iPhone 11 64 GB Second Original,,5,2022-06-18 08:38
p*****8,IPHONE 12 MINI 128 GB SECOND ORIGINAL,"Sepadan dengan Harga:yessss
Fitur Terbaik:mantul",5,2022-06-17 14:15
reza.azifa27,iphone Xs 64 GB Second Original,Kualitas sudah tidak usah di ragukan lagi. Second original mwantuuuuuuuullllll. Adminnya sangat ramah dan mengarahkan. Jordan memang manteep sih. Tengkyuuu min,5,2022-06-17 04:13
wakhiddonins,IPHONE 11 PRO MAX 256 GB SECOND ORIGINAL,"Fitur Terbaik:Pelayanan sangat baik , adminnya ramah balas chatnya fast respon ,detail banget ngirim fotobarangnya
Sepadan dengan Harga:sepadan dengan harga yang diberikan puas pokoknya",5,2022-06-16 13:02
m*****x,LINK SPLIT PAYMENT TIMOHO,,5,2022-06-16 12:41
nhengnhurul,MAGNETIC CASE MAGSAFE,,5,2022-06-16 12:40
nhengnhurul,IPHONE 11 PRO 256 GB SECOND ORI FULLSET,,5,2022-06-16 12:36
i*****c,LINK SPLIT PAYMENT TIMOHO,Makasih ya kal amanha banget semoga barangnya awed pake d hehe,5,2022-06-16 11:15
6yunita9,iPhone 11 64 GB Second Original,,5,2022-06-16 10:11
handakadnh,IPhone 11 128 GB Second original,,5,2022-06-16 06:03
santinurbima,iPhone Xr 128 GB Second Original,,5,2022-06-16 05:23
imam_n0egroho,IPHONE 11 PRO 256 GB SECOND ORI FULLSET,"maaf baru kasih ulasan karena nunggu beberapa hari dulu buat dipakai. overral iphone yang dikirim secara fisik mulus fungsi oke semua, dapet seri J/A tapi gapapalah.",5,2022-06-16 03:43
d*****p,Iphone 11 Pro 64 GB SECOND ORIGINAL,,3,2022-06-15 17:36
alovashop123,LINK SPLIT ORDER ONLINE,,4,2022-06-15 14:45
devanchristiansaputra,IPHONE 6S 16 GB SECOND ORIGINAL,,5,2022-06-15 08:35
ignatiuswawankurniawan,iPhone X 256 Second Original,,5,2022-06-14 21:52
annerosentae,IPHONE 11 PRO 256 GB SECOND ORI FULLSET,,5,2022-06-14 15:16
e*****p,IPHONE 11 PRO 256 GB SECOND ORI FULLSET,,5,2022-06-14 12:42
mr.moch11.11,IPHONE 11 PRO 256 GB SECOND ORI FULLSET,Barang dah sampe dari kemaren sih dikirimin. Cuma kurang clear case yg sebelumnya dijanjiin gak ada sama bh nya yg di note sama di video sebelum dikirim 100 pas dtg cuma 99. Over all good. Rekomendasi belanja di toko ini. Adminya tq ya udah mau direpotin sama customer ini. 4 bintang dulu.,4,2022-06-14 11:54
yogarhj.,iPhone Xr 64 GB Second Original,,5,2022-06-14 09:31
n*****5,iphone 7 Plus 128 GB Second Original,"Maaf telat kasih penilaian. Hpnya ori udah di cek pake 3utools cuma box sama assesorisnya yg oem, tapi gapapaa. Kirain bakal dapet yg Kesehatan baterai 100% ternyata 86% tapi gapapa masih aman",5,2022-06-14 03:11
enofaridaputri,iPhone 8 64 GB Second Original,"Teramat sangat memuaskan belanja disini, terimakasih banyak .",5,2022-06-14 02:17
d*****v,MAGNETIC CASE MAGSAFE,,5,2022-06-14 01:39
d*****v,IPHONE 12 128 GB SECOND ORIGINAL,,5,2022-06-14 01:39
arya_lasulika,iPhone Xr 128 GB Second Original,,5,2022-06-13 03:44
b*****a,Packing Kayu Dan Custom Box Pengiriman,Kualitas:bagus,5,2022-06-13 01:36
b*****a,IPHONE XS MAX 256 SECOND ORIGINAL,"Fitur Terbaik:bagus
Sepadan dengan Harga:sesuai",5,2022-06-13 01:36
dedipratomo_12,Iphone 11 Pro 64 GB SECOND ORIGINAL,"Seller ramah dan komunikatif banget, dikasih yang mulus 90%  worth it 👍.     Pertahankan kualitas",5,2022-06-12 15:27
chalidiah,iPhone 11 64 GB Second Original,Fitur Terbaik:mantap sementara semua oke,4,2022-06-12 15:00
ridiawati1723,iPhone 11 64 GB Second Original,,5,2022-06-12 08:17
etikarismi03,IPHONE 11 PRO MAX 256 GB SECOND ORIGINAL,"Thanks JB, terbaik pokoknya, semoga hp nya awet di tangan saya😁",5,2022-06-12 05:52
mithaasrya,iPhone Xr 64 GB Second Original,"Alhamdulillah sesuai ekspektasi 🥰... Datang sesuai request. Seller ramah, and cepet bgt pengirimannya 😍😍",5,2022-06-12 02:16
donesbahtera08,IPHONE 11 PRO 256 GB SECOND ORI FULLSET,,5,2022-06-11 15:26
lepusparini,Iphone 11 Pro 64 GB SECOND ORIGINAL,,5,2022-06-11 11:55
abidargifi,iPhone Xr 128 GB Second Original,,5,2022-06-11 11:25
harisahibad,iPhone 7 plus 32 GB Second Original,,5,2022-06-11 09:07
bgsqbl2,LINK SPLIT PAYMENT TIMOHO,"Akurasi:Mantap dapat BH 91%, mulus like new, dan ngga mengecewakan
Kemudahan penggunaan:Rekom bgt",5,2022-06-11 03:40
jokev017,iPhone 11 64 GB Second Original,,5,2022-06-11 01:50
dita.riyadi,Iphone SE 2020 256 GB Second Original,,5,2022-06-10 14:02
dewiutariarmin,Iphone SE 2020 256 GB Second Original,,5,2022-06-10 12:23
a*****7,LINK SPLITPAYMENT GODEAN,,5,2022-06-09 16:11
dindaaaaaaawulandari,iPhone Xr 64 GB Second Original,Mantabb lah,5,2022-06-09 14:14
f*****a,Iphone 11 Pro 64 GB SECOND ORIGINAL,Maap yah.. produknya masih sama jastip belum ta ambil.. but sdh 3x belu di JC selalu memuaskan.. 🫶🤗,5,2022-06-09 13:39
l*****7,iPhone 11 64 GB Second Original,,5,2022-06-09 11:48
b*****h,IPHONE 11 PRO 256 GB SECOND ORI FULLSET,"Baru pertama beli disini. Seller ramah, dikasih tau info produk sm seller sblm kirim jd bisa sama"" ngerti. 3 hari dah sampe Kalimantan, dateng mulus banget, lecet dikit gak keliatan. Aksesoris, imei, sinyal lancar semua.
Packing kayu, kalaupun jauh tetep aman.
Recommended seller.
Thanks.",5,2022-06-09 08:21
f*****i,iPhone X 256 Second Original,,5,2022-06-09 06:23
n*****y,LINK SPLIT PAYMENT TIMOHO,,5,2022-06-09 04:56
c*****a,iPhone Xr 64 GB Second Original,,5,2022-06-09 04:30
h*****i,iPhone Xr 128 GB Second Original,,5,2022-06-09 02:04
d*****3,LINK SPLIT PAYMENT TIMOHO,,5,2022-06-09 01:54
karinaimutianti,Packing Kayu Dan Custom Box Pengiriman,,5,2022-06-09 01:46
karinaimutianti,Iphone Xs Max 64 GB SECOND ORIGINAL,,5,2022-06-09 01:46
tedboy25,IPHONE 11 PRO MAX 64 GB SECOND ORIGINAL LIKE NEW,No tipu2 club pokoknya ini store best lah,5,2022-06-08 23:25
triapriati,iPhone 11 64 GB Second Original,,5,2022-06-08 17:10
oktavianidiansaputri,LINK SPLIT ORDER ONLINE,,5,2022-06-08 15:40
mhmdzkii__,iPhone 8 64 GB Second Original,"paket dah datengg, ibu pun senang wkwk, terimakasi banyak",5,2022-06-08 12:10
aaard_,IPHONE SE 2020 64 GB SECOND ORIGINAL,,5,2022-06-08 12:02
jows_snakehead,IPhone 11 128 GB Second original,Good,4,2022-06-08 10:11
argaaldhita,iphone 8 Plus 64 GB Second Original,,4,2022-06-08 05:22
henipw_20,IPhone 11 128 GB Second original,,5,2022-06-07 22:56
s*****h,iPhone 8 64 GB Second Original,"Quality Control dikirim detail setelah check out, barang sampai 1 hari. Mulus no dent, semoga awet, mohon dibantu after sales nya jika ada kendala. Recommend seller 👍🏻 terimakasih",5,2022-06-07 16:06
jigrakk,iPhone Xs 256 GB Second Original,,5,2022-06-07 06:25
agnes_anastasia19,LINK SPLIT PAYMENT TIMOHO,,5,2022-06-07 05:31
c*****e,iPhone 11 64 GB Second Original,bagus bgttt sesuai riquest🥰,5,2022-06-07 03:01
bayuaqnifadhilla,IPHONE 11 PRO MAX 64 GB SECOND ORIGINAL LIKE NEW,,5,2022-06-06 15:35
wennieysp,iPhone 11 64 GB Second Original,,5,2022-06-06 14:26
k*****9,iPhone X 64 GB Second Original,Terimakasih hpnya normal like new bgt amanah👌,5,2022-06-06 12:02
feyfitria,LINK SPLIT PAYMENT TIMOHO,,5,2022-06-06 11:33
alvinnurrahman14,iPhone Xr 128 GB Second Original,,5,2022-06-06 10:42
y*****5,iphone 7 Plus 256 GB Second Original,,3,2022-06-06 09:54
lovely.thrifty,iphone 7 Plus 256 GB Second Original,,5,2022-06-06 09:15
tesalonikaka,iPhone Xr 128 GB Second Original,Ok si pokok e,4,2022-06-06 07:51
enggarhari,LINK SPLIT PAYMENT TIMOHO,,5,2022-06-06 07:48
neligustianiirawan21,iphone 8 Plus 64 GB Second Original,,5,2022-06-06 07:12
n*****h,IPhone Xr 256 GB Second Original,"kondisi barangnya mulus bgt, semua fungsi masi berjalan baik sampe skrg, 3utools ijo semua kecuali kamera belakang tp maklum karena second. bh awal dtg 96% sampe skrg 86% (27 mei-6 juni) pdhl pemakaian normal, g prnh dimainin sambil ngecas. sengaja dinilai sesudah seminggu pemakaian, semoga awet:)",4,2022-06-06 07:00
yuli_agustya,Iphone 7 256 GB Second Original,,5,2022-06-06 04:29
